Bolagsnamn;Info;Info;Info;Info;Info;Info;Info;Kursutveck.;Kursutveck.;Utdelning;Utdelning;P/E;P/S;P/B;EV;Volym;ROE;ROE;ROIC;ROIC;Vinsttillväxt;Vinsttillväxt;FCF;FCF;Börsvärde;Antal Aktier;Vinst/Aktie;Trad.volym;Volatilitet
;Land;Lista;Sektor;Bransch;Ticker;Instrument;Rapport;Utveck.  5 år;Utveck.  3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Senaste;Snitt 100d;Snitt 3 år;Snitt 5 år;Snitt 5 år;Snitt 3 år;År. tillv. 5 år;År. tillv. 3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Volym 50d;St.avk. 100d
ESEN eSports;Sverige;Aktietorget;Sällanköpsvaror;Betting & Spel;ESEN;Aktier;Q1-2018;;;;;-4.414645;4.63107;9.006014;18.15404;12436.12;-1.267228;;;-2.100586;;;;-3.23325;18.62894;3.179;-1.3274;0.003435256;153.4315
Esoft Systems;Denmark;First North;Informationsteknik;Programvara & Internet;ESOFT;Aktier;Q4-2017;4.295316;0.3;;;12.8319;0.6568314;2.929448;69.311;325.88;0.1820978;;;0.1349646;;0.3466469;;7.335;91.182;3.507;2.0262;8.20E-05;66.31913
Essity A;Sverige;Large Cap;Dagligvaror;Konsumentprodukter;ESSITY A;Pref;Q1-2018;;;2.3;3.833333;19.38337;1.404387;3.428168;210706.2;11583.4;0.1368049;0.1306781;0.07072685;0.06632589;;0.09812373;225.4;-3746.333;157315.2;702.3;11.5563;1.13E-05;22.77658
Essity B;Sverige;Large Cap;Dagligvaror;Konsumentprodukter;ESSITY B;Aktier;Q1-2018;;;2.3;3.833333;19.40933;1.406268;3.432759;210916.9;1362795;0.1368049;0.1306781;0.07072685;0.06632589;;0.09812373;225.4;-3746.333;157525.9;702.3;11.5563;0.001791115;21.64503
Etrion;Sverige;Small Cap;Kraftförsörjning;Energiproducenter;ETX;Aktier;Q4-2017;0.16875;-0.359589;;;3.907229;3.495749;8.458868;1825;685886;-0.2031547;-0.3013033;-0.03736035;-0.04086636;;;-269.6973;-72.14847;624.7483;334.09;0.4786;0.003485328;46.31419
Etteplan;Finland;Small Cap;Industri;Tjänster & Leverans;ETTE;Aktier;Q1-2018;1.677316;0.9904988;0.184;0.2066667;17.4438;0.9461907;3.463088;231.264;3924.36;0.1791594;0.1841124;0.1505513;0.1399405;0.1716255;0.1749137;4.282;3.15;207.581;24.771;0.4804;0.000143537;28.40454
Eurocine Vaccines;Sverige;Aktietorget;Hälsovård;Läkemedel;EUCI;Aktier;Q3-2018;-0.745;-0.2949309;;;-2.591025;;5.903879;82.96722;105484.6;-1.42479;-1.217348;;;;;-20.0074;-26.764;103.2352;67.474;-0.5905;0.000833666;67.85721
Eurocon;Sverige;Aktietorget;Industri;Tjänster & Leverans;EURO;Aktier;Q1-2018;0.8648649;0.8648649;0.28;0.3333333;11.09325;1.164421;3.195269;272.6253;21887.39;0.2673446;0.2433004;0.2880069;0.3264782;0.2796126;0.2631788;7.478601;8.360333;288.6063;41.827;0.622;0.00043223;41.07981
Euroinvestor;Denmark;Small Cap;Informationsteknik;Programvara & Internet;EI;Aktier;Q4-2017;-0.05882353;-0.5580111;;;-178.1737;2.813247;1.071401;197.718;1728.54;;;;;;;;;177.8;22.225;-0.0449;9.86E-05;57.79079
European institute;Sverige;Aktietorget;Hälsovård;Sjukvård;EURI B;Aktier;Q1-2018;-0.08888888;-0.1733871;;;-2.735157;9.251873;2.862399;3.6125;14211.54;-0.6239595;-0.6074116;-2.043129;-2.649007;;;-0.6606;-0.85;4.9405;12.05;-0.1499;0.000701155;219.2517
Europris;Norge;OB Match;Dagligvaror;Konsumentprodukter;EPR;Aktier;Q1-2018;;;1.36;1.8;11.03312;0.7951326;2.472451;5776.705;497480.3;0.2287743;0.1978498;0.1121145;0.134874;0.3199076;0.1335874;304.636;386.071;4382.936;166.969;2.3792;0.002793298;32.03999
Everysport Media;Sverige;Aktietorget;Informationsteknik;Kommunikation;EVERY A;Aktier;Q1-2018;-0.250776;0.3207548;;;-3.699789;0.8656576;4.252428;74.939;167903;-0.9130672;-0.8251365;-0.7405264;-1.036613;;;-6.9926;-8.817;78.806;112.58;-0.1892;0.001207474;106.4339
Evli Pankki;Finland;Mid Cap;Finans & Fastighet;Bank;EVLI;Aktier;Q1-2018;;;0.392;0.48;12.20238;3.17289;3.507644;-108.0001;10181.72;0.2218449;0.1919241;0.02246309;0.02396348;;0.141538;63.52;80.43333;229.3999;23.313;0.8064;0.000215682;17.18328
Evolution Gaming;Sverige;Large Cap;Sällanköpsvaror;Betting & Spel;EVO;Aktier;Q1-2018;;3.553719;4.92626;7.2195;30.45444;10.53027;15.06663;19355.01;214756.5;0.5189645;0.5048255;0.7955599;0.7918497;0.5846586;0.5179729;202.6449;275.2949;19819.47;35.97;18.0926;0.006542347;60.15179
eWork;Sverige;Small Cap;Industri;Bemanning;EWRK;Aktier;Q1-2018;1.52722;0.656338;4.15;4.333333;19.99093;0.1559456;8.804679;1681.362;11744.71;0.50069;0.4721566;0.4773447;0.7771667;0.1847719;0.07961871;27.1854;68.428;1520.568;17.24;4.412;0.000733731;25.79681
EVRY;Norge;OB Match;Informationsteknik;IT-Tjänster;EVRY;Aktier;Q1-2018;;;;0.8333333;605.0955;0.8369344;3.666888;14754.97;123113.2;0.493675;;;0.004858066;;;;-641.6667;10567.97;370.806;0.0471;0.000319459;28.35141
Exalt;Sverige;Aktietorget;Telekommunikation;Telekommunikationstjänster;EXALT;Aktier;Q1-2018;-0.6344827;-0.3476923;;;8.76033;1.017666;2.48982;34.48186;83383.05;-0.6191729;-0.4947163;-0.2958917;-0.3222409;0.04306617;0.1141041;-15.49275;-24.2425;39.04786;46.047;0.0968;0.002157117;89.68575
Exel Composites;Finland;Small Cap;Industri;Tjänster & Leverans;EXL1V;Aktier;Q4-2017;0.07441013;-0.3035294;0.164;0.2066667;16.72316;0.8165352;2.444221;79.15824;8059.19;0.08203129;0.1145593;0.134675;0.09014049;0.1570549;-0.09601307;1.3566;-1.521;70.43024;11.897;0.354;0.00073654;22.0828
Exeotech Invest;Sverige;NGM;Informationsteknik;Kommunikation;ETIN MTF;Aktier;Q4-2017;-0.9968254;-0.96;;;-0.877193;0.2927448;0.5605398;10.9655;21472380;-0.7084399;-0.8637075;2.11673;-0.7000982;;;-14.403;-23.76667;9.8655;986.55;-0.0114;0.009437288;114.2797
ExpreS2ion Biotech;Sverige;First North;Hälsovård;Bioteknik;EXPRS2;Aktier;Q1-2018;;;;;-6.334914;8.943832;3.464732;57.94888;26844.64;-0.8898926;;;-0.7558309;;;;-11.02433;75.65588;9.601;-1.2439;0.002625539;75.50451
Eyeonid;Sverige;NGM;Informationsteknik;IT-Tjänster;EOID MTF;Aktier;Q4-2017;;;;;-39.45051;126.3108;12.72526;551.6304;275701.3;-0.5429513;;;-0.6241378;;;;-16.18667;566.6304;50.592;-0.2839;0.004185581;82.67439
F.E. Bording;Denmark;Small Cap;Informationsteknik;Kommunikation;BORD B;Aktier;Q4-2017;-0.007692308;-0.2586207;;;95.70301;0.3374998;1.322908;339.274;19.22;;;;;;;;;218.01;0.338;6.7396;;27.64304
Fabege;Sverige;Large Cap;Finans & Fastighet;Fastigheter;FABG;Aktier;Q1-2018;1.82091;0.7458823;1.975;2.166667;4.723944;14.63452;1.124737;59402.84;852132.5;0.249196;0.213987;0.09766673;0.1199049;0.3654116;0.3102446;-997.4;-1308.333;34361.84;330.784;21.9901;0.002279115;21.64874
Facebook;USA;"NYSE & Nasdaq
";Informationsteknik;Programvara & Internet;FB;Aktier;Q1-2018;6.606746;1.296002;;;30.10893;12.05234;6.923184;493421.5;30798920;0.2053946;0.1560386;0.1660693;0.2197504;0.583899;0.6741488;4486;6710.333;537377.5;2906;6.1417;0.01301176;34.13857
Fagerhult;Sverige;Mid Cap;Industri;Byggprodukter;FAG;Aktier;Q1-2018;3.290043;0.5600001;1.53332;1.833333;20.31731;1.890318;4.836499;11857.11;39988.47;0.2445547;0.2261988;0.1147167;0.1164231;0.2128816;0.1845568;-20.76;-97.13333;9823.414;114.492;4.223;0.000458803;31.62423
Fast Balder;Sverige;Large Cap;Finans & Fastighet;Fastigheter;BALD B;Aktier;Q1-2018;3.333649;0.6155478;;;5.262116;6.201423;0.9422194;97734.4;336173.1;0.1770931;0.1893701;0.06941075;0.06556654;0.3192808;0.1312576;-4877.6;-4715.667;37450.39;163.825;43.4426;0.001701606;19.50059
Fast Ejendom;Denmark;Small Cap;Finans & Fastighet;Fastigheter;FED;Aktier;Q4-2017;;0.6699029;;;7.991822;3.010395;0.7496216;752.85;1960.91;;;;;;;;;235.726;2.741;10.761;0.000635381;19.13893
Fast Partner;Sverige;Mid Cap;Finans & Fastighet;Fastigheter;FPAR;Aktier;Q1-2018;0.9807692;0.3065529;1.3233;1.399967;6.810818;6.581694;1.173981;20277.4;67226.07;0.2038471;0.2065482;0.0929479;0.0986484;0.3461452;0.002534337;-1282.22;-983.2;9333.499;181.233;7.5615;0.000241471;19.99594
Fast Partner Pref;Sverige;Mid Cap;Finans & Fastighet;Fastigheter;FPAR PREF;Pref;Q4-2017;;-0.0404835;6.6666;6.666601;;;;119.14;2702.51;;;;;;;;;119.14;1;;;11.51342
Fastator;Sverige;First North;Industri;Byggprodukter;ABFAST;Aktier;Q1-2018;-0.7666871;0.1166666;;;9.697847;6.261849;0.6391633;597.838;2303.5;0.109796;-0.03951117;-0.01437275;0.08583443;;-0.2458901;-49.23538;-72.6593;375.736;14.02;2.7635;0.00026183;39.85046
FastOut Int.;Sverige;Aktietorget;Informationsteknik;Elektronisk utrustning;FOUT;Aktier;Q1-2018;;;;;-3.176044;2.702868;2.758744;17.5284;118826.5;-0.8240607;;;-1.422698;;;;-8.06565;20.2307;57.802;-0.1102;0.001984847;85.32507
FastPassCorp;Denmark;First North;Informationsteknik;Programvara & Internet;FASTPC;Aktier;Q4-2017;0.9700001;0.5951417;;1.333333;38.69954;6.536296;2.860852;32.117;173.22;0.2124172;;;0.2172936;;;;0.39;32.505;0.825;1.0181;;68.57999
Feelgood;Sverige;Small Cap;Hälsovård;Sjukvård;FEEL;Aktier;Q1-2018;2.093496;1.949613;0.042;0.07;15.5433;0.5700855;2.241203;438.3617;47121.09;0.1563473;0.08603463;0.07673228;0.138937;0.5117847;;5.1552;7.105667;395.4917;103.94;0.2448;0.000313413;37.71519
Fenix Outdoor;Sverige;Mid Cap;Sällanköpsvaror;kläder & Textil;FOI B;Aktier;Q1-2018;3.788599;1.645669;7.40066;9.333333;21.22628;2.393616;5.361015;13202.73;4003.08;0.2559115;0.2277209;0.3156137;0.3707272;0.2672555;0.3384307;216.0554;319.5533;13522.32;13.415;47.4883;0.000248063;27.33207
Ferronordic Machines;Sverige;Mid Cap;Industri;Handel & Distribution;FNM;Aktier;Q1-2018;;;0.692;1.153333;13.11073;0.7557454;3.074252;1723.76;17574.18;0.2237101;0.1621714;0.3106424;0.4259079;;0.7403711;105.5542;115.7707;1987.978;14.532;10.4342;0.001163413;27.47945
Filo Mining;Sverige;First North;Material;Gruv & Metall;FIL;Aktier;Q1-2018;;;;;-6.94329;;8.695686;976.1874;7421.64;-1.323783;;;-15.82068;;;;-39.33177;1098.776;65.795;-2.4052;8.90E-05;60.34552
Finepart;Sverige;Aktietorget;Industri;Byggprodukter;FINE;Aktier;Q1-2018;;;;;-3.932317;4.314552;3.948383;30.9817;14913.51;-0.755634;;;-0.9449564;;;;-6.6375;28.9377;5.846;-1.2588;0.001478194;76.77262
Fingerprint Cards;Sverige;Large Cap;Informationsteknik;Elektronisk utrustning;FING B;Aktier;Q1-2018;-0.07163747;-0.6983373;;;-23.88116;0.7758154;0.9079149;1459.49;6380587;0.3070737;0.2278171;1.579836;0.5697654;;;77.10001;-77.23331;1993.69;313.967;-0.2659;0.02009776;62.91081
Finnair;Finland;Large Cap;Industri;Tjänster & Leverans;FIA1S;Aktier;Q1-2018;2.8;2.758993;0.14;0.2333333;7.48085;0.4912217;1.376744;1879.221;359646;0.1500414;0.08244194;0.05854708;0.09215528;0.5128038;0.2604326;62.60001;8.266673;1339.021;128.136;1.3969;0.00223584;62.2772
Firefly;Sverige;First North;Industri;Tjänster & Leverans;FIRE;Aktier;Q1-2018;2.868313;1.008547;1.16;1.333333;20.25251;1.286987;6.086338;260.439;9358.7;0.2241572;0.2462666;0.219927;0.2077918;0.2568327;-0.04318211;8.9214;9.279332;282.047;6.001;2.3207;0.001743676;28.31674
FirstFarms;Denmark;Small Cap;Dagligvaror;Livsmedel;FFARMS;Aktier;Q4-2017;0.4831264;0.1925602;;;83.35883;1.468361;0.8885766;522.9995;1700.97;-0.03512241;-0.01396316;-0.01148832;-0.02848717;;-0.2959354;-19.2188;-22.75;279.9665;5.137;0.6538;0.00027641;32.81773
Fiskars;Finland;Large Cap;Sällanköpsvaror;Konsument;FSKRS;Aktier;Q1-2018;0.07819384;0;0.776;0.8333333;16.88222;1.400122;1.295919;1819.4;7724.87;0.08664612;0.2003214;0.1834038;0.07303738;0.002747103;0.03734333;132.92;116.0333;1603.7;81.905;1.1598;8.86E-05;18.8122
FIT Biotech;Finland;First North;Hälsovård;Bioteknik;FITBIO;Aktier;Q4-2017;;;;;-0.01489758;0.08202471;-0.003688372;13.18013;21050570;-0.2819711;;;-7.040946;;;;-2.603;0.0491328;61.416;-0.0537;0.4928012;249.192
Fjord1;Norge;OB Match;Industri;Tjänster & Leverans;FJORD;Aktier;Q4-2017;;;;;10.12191;1.961251;2.690331;6835.83;79256.34;;;;;;;;;5480;100;5.414;0.000444522;26.11947
Fjordkraft;Norge;OB Standard;Kraftförsörjning;Energiproducenter;FKRAFT;Aktier;Q4-2017;;;;;14.10203;0.7979463;4.960029;3358.8;;;;;;;;;;3552.864;104.496;2.411;;
FLEX LNG;Norge;OB Match;Industri;Tjänster & Leverans;FLNG;Aktier;Q4-2017;3.854166;0.2263158;;;-52.61969;20.03142;1.052562;5461.248;829602.3;-0.01355551;;;-0.0119239;;;;-264.2576;4286.443;367.935;-0.2214;0.002316163;32.06966
Flexqube;Sverige;First North;Industri;Handel & Distribution;FLEXQ;Aktier;Q1-2018;;;;;-67.3661;6.20899;6.736059;212.9928;4974.64;-0.1230943;;;-0.3416723;;;;-6.679333;231.7878;6.333;-0.5433;0.00072991;48.96913
FLSmidth & Co.;Denmark;Large Cap;Industri;Produktion;FLS;Aktier;Q1-2018;0.5045015;0.2970149;7;7.333333;415.2332;1.208593;2.692058;23081.3;293895.8;0.02570771;0.04699872;0.03044238;0.01854276;;-0.5058891;1066.4;1114.667;21590.3;49.69;1.0464;0.006561424;32.07939
Flugger;Denmark;Small Cap;Industri;Byggprodukter;FLUG B;Aktier;Q3-2018;0.1066461;-0.07012987;;15;24.58167;0.5609776;1.305407;867.966;197.75;0.03526124;;;0.04366215;;;;78.74133;1029.966;2.877;14.5637;7.56E-05;16.82342
Fluicell;Sverige;First North;Hälsovård;Läkemedel;FLUI;Aktier;Q1-2018;;;;;-10.71982;71.67369;2.561957;88.1708;;-1.235779;;;-5.172316;;;;-6.964333;93.1758;7.484;-1.1614;;
FM Mattsson;Sverige;Small Cap;Industri;Byggprodukter;FMM B;Aktier;Q1-2018;;;4;3;17.3471;0.9385563;2.086201;1046.521;2905.79;0.1557349;0.157946;0.1144125;0.1191931;-0.001434197;-0.05898262;44.52;69;1046.021;13.445;4.4849;0.000329697;22.39509
Follicum;Sverige;Aktietorget;Hälsovård;Läkemedel;FOLLI;Aktier;Q1-2018;;-0.6842105;;;-3.673469;;4.141984;58.6317;117320.2;-0.9717503;-0.9581954;-888.503;-1469.831;;;-16.6488;-18.22333;75.9267;28.121;-0.735;0.001668407;76.85004
Fondia;Finland;First North;Industri;Tjänster & Leverans;FONDIA;Aktier;Q4-2017;;;;;31.62572;2.691187;7.159503;40.0404;1428.35;;;;;;;;;47.2384;3.904;0.3826;0.000147741;26.06945
Footway Pref;Sverige;First North;Sällanköpsvaror;kläder & Textil;FOOT PREF;Pref;Q4-2017;;;;8;;;;119;344.79;;;;;;;;;119;1;;;27.46008
Formpipe Software;Sverige;Small Cap;Informationsteknik;Programvara & Internet;FPIP;Aktier;Q1-2018;2.223214;1.174699;0.28;0.4333333;29.18823;2.36008;2.434023;936.7437;37020.88;0.07121641;0.06467101;0.05629946;0.0670348;0.1556588;0.2103129;43.3268;50.53366;936.3077;51.873;0.6184;0.000969958;34.11182
Fortnox;Sverige;NGM;Informationsteknik;IT-Tjänster;FNOX MTF;Aktier;Q1-2018;6.528736;4.598291;0.198;0.2333333;76.26033;12.17193;39.14688;3801.659;80034.84;0.5197541;0.5107054;-6.131263;-6.298987;0.4038878;0.3720933;27.5746;36.204;3885.133;59.315;0.8589;0.001162808;28.89403
Fortum;Finland;Large Cap;Kraftförsörjning;Energiproducenter;FORTUM;Aktier;Q1-2018;0.3903448;0.1639723;1.14;1.1;19.57472;3.622467;1.478046;18808.48;2519055;0.05858687;0.1525369;0.1332342;0.04835763;-0.0534178;-0.395307;2259.6;-309.6667;17909.48;888.367;1.0299;0.002500358;22.80443
Fram Skandinavien;Sverige;First North;Informationsteknik;IT-Tjänster;FRAM B;Aktier;Q1-2018;;;;;-216.4599;16.44675;5.926381;189.226;11012.78;0.2249697;;;0.1084206;;;;-0.6003333;226.85;2.5;-0.4192;0.00499716;76.10955
Fred. Olsen Energy;Norge;OB Match;Energi;Olja & Gas;FOE;Aktier;Q1-2018;-0.9493549;-0.7949387;;;-0.3713362;0.4032911;0.1874966;4726.5;586340.3;-0.3534518;-0.2668144;-0.1604881;-0.2194096;;;720.0416;2172.18;832.728;66.3;-33.8238;0.008823484;77.97812
Free2Move;Sverige;NGM;Informationsteknik;Kommunikation;F2M MTF;Aktier;Q4-2017;-0.8666666;-0.9;;;-0.001299039;0.004119835;0.000619896;3450.964;51303890;-0.6696255;-0.5818121;-0.5021381;-0.6496681;;;-2767.904;-4609.101;11.964;2991;-3.0792;0.02080297;194.7934
Freedesk;Sverige;Aktietorget;Sällanköpsvaror;Konsument;FREESK;Aktier;Q1-2018;;;;;-0.4285102;1.282288;1.016412;1.6905;188572.4;-1.651958;;;-4.294368;;;;-5.942;3.1275;10.425;-0.7001;0.02658115;266.8385
FRISQ;Sverige;First North;Informationsteknik;IT-Tjänster;FRISQ;Aktier;Q1-2018;;;;;-12.26183;327.4281;1.796295;300.5632;8184.31;-0.1282947;;;-0.1622365;;;;-39.866;331.3572;16.243;-1.6637;0.000449536;73.23287
Frontline;Norge;OB Match;Energi;Olja & Gas;FRO;Aktier;Q4-2017;-0.125283;-0.5727189;2.8461;4.157667;-3.810588;1.561557;0.8500533;21567.52;677428.9;-0.01269731;-0.01269731;-0.08713885;0.003248558;;;-1299.494;-2281.948;7872.345;169.809;-12.1661;0.003524291;43.94652
FrontOffice Nordic;Sverige;NGM;Finans & Fastighet;Bank;FRNT MTF B;Aktier;Q1-2018;;;;;13.36278;3.799236;1.847723;36.59096;66502.41;0.1719014;0.1322822;0.08956694;0.1316562;;0.7329249;-4.053;-5.677667;36.99696;15.288;0.1811;0.005750495;79.93431
F-Secure;Finland;Mid Cap;Informationsteknik;Programvara & Internet;FSC1V;Aktier;Q1-2018;1.083333;0.3316151;0.096;0.06666666;58.27068;3.666754;8.424865;571.1478;94544.19;0.1667682;0.1968521;0.2481396;0.2164034;-0.08502637;-0.2230702;29.5494;22.43333;605.7477;156.322;0.0665;0.00059183;36.6508
Funcom;Norge;OB Match;Sällanköpsvaror;Betting & Spel;FUNCOM;Aktier;Q1-2018;1.210945;1.7775;;;-83.34583;13.10053;5.355355;1407.43;1283704;-0.2313277;-0.2313277;-0.8624545;0.0694024;;;-12.9007;-8.322101;1537.357;69.188;-0.2666;0.02027402;63.24882
Future Gaming;Sverige;Aktietorget;Sällanköpsvaror;Betting & Spel;FGG;Aktier;Q1-2018;-0.3396664;-0.04682274;;;81.42857;5.332676;2.349082;257.9024;2207314;-0.1383901;-0.2248599;-0.2464577;-0.1974298;;;-55.3354;-91.41465;169.5685;594.977;0.0035;0.003321219;65.94255
FX International;Sverige;Aktietorget;Finans & Fastighet;Bank;FXI;Aktier;Q3-2018;-0.3555556;-0.2090909;;;-3.117721;114.7345;2.49752;5.67648;9363.16;-0.7763904;-0.5411578;-0.2929153;-0.3870592;;;-2.5485;-4.3465;7.57248;4.352;-0.5581;0.002866636;174.4559
Fynske Bank;Denmark;Small Cap;Finans & Fastighet;Bank;FYNBK;Aktier;Q1-2018;;0.1104295;;1.066667;7.102551;2.731321;0.6823032;508.7595;1467.94;0.08363953;;;0.01301489;;;;-52.7265;686.0805;7.581;12.7419;0.00019565;17.91823
G4S;Denmark;Large Cap;Industri;Tjänster & Leverans;G4S;Aktier;Q4-2017;0.09069771;-0.2393772;0.8979999;0.902;18.66592;0.5627321;5.182432;49059.58;228486;0.1724521;0.05223226;0.02571776;0.06537087;0.3212584;0.06405509;3090.114;3435.93;36253.7;1546;1.2563;0.000118052;25.36588
G5 Entertainment;Sverige;Mid Cap;Sällanköpsvaror;Betting & Spel;G5EN;Aktier;Q1-2018;10.5;16.31928;1.15;1.916667;44.22873;3.981076;18.5851;4972.614;111511.2;0.3378962;0.2406536;0.3755244;0.536994;;0.9542124;21.5054;33.916;5070.35;8.818;13.0006;0.01423583;50.05228
Gabather;Sverige;First North;Hälsovård;Läkemedel;GABA;Aktier;Q1-2018;;-0.8137255;;;-4.768877;25.99402;1.866805;26.82448;10414.01;-0.2821733;-0.3025469;-1.872026;-1.310669;;;-9.877199;-13.014;58.74648;5.1532;-2.3905;0.002000085;68.12173
Gabriel Holding;Denmark;Small Cap;Industri;Byggprodukter;GABR;Aktier;Q2-2018;3.732824;1.890443;;7.516666;25.58685;1.771562;5.133732;1235.905;697.38;0.1767825;;;0.1843478;;0.2862697;;4.142666;1171.8;1.89;24.2312;0.000390561;19.67922
Gaming Corps;Sverige;First North;Sällanköpsvaror;Betting & Spel;GCOR;Aktier;Q1-2018;;;;;-1.367213;1.246072;3.393419;24.0459;2071954;-1.587965;-1.591445;-2.398859;-2.360804;;;-26.6572;-33.064;25.7289;123.4;-0.1525;0.01971011;87.37406
Gaming Innovation;Norge;OB Match;Sällanköpsvaror;Betting & Spel;GIG;Aktier;Q1-2018;1.402778;3.325;;;177.1331;3.656116;4.349369;5148.48;1995691;0.01837455;0.001458186;0.00633104;0.01769604;;;-221.3159;-357.6948;4648.455;895.656;0.0293;0.002114442;40.91951
Gapwaves;Sverige;First North;Informationsteknik;Kommunikation;GAPW B;Aktier;Q1-2018;;;;;-9.17608;29.7527;18.86115;303.7529;96976.13;;;;;;;;;307.2859;17.928;-1.8679;0.00270571;91.57846
GARO;Sverige;Mid Cap;Industri;Tjänster & Leverans;GARO;Aktier;Q1-2018;;;2.97;3.616667;19.44316;2.032501;6.105647;1729.1;9848.94;0.3153257;0.2813275;0.2822482;0.3144971;0.4186759;0.2346597;13.12002;-5.133299;1676;10;8.62;0.001139006;38.84464
Gasporox;Sverige;First North;Industri;Handel & Distribution;GPX;Aktier;Q1-2018;;;;;-8.518637;5.074124;3.997795;42.86215;5792.74;-0.3464905;;;-0.774828;;;;-6.228667;48.68115;4.571;-1.2502;0.000637104;78.18278
Gate Ventures;Denmark;First North;Sällanköpsvaror;Media;GATE;Aktier;Q3-2017;;;;;;;;0.00022;;;;;;;;;;0.00022;0.001;;;
GC Rieber Shipping;Norge;OB Standard;Industri;Tjänster & Leverans;RISH;Aktier;Q4-2017;-0.8046512;-0.664;0.9;;-2.819833;1.388898;0.3218228;1319.671;6370.33;-0.2641172;-0.13166;-0.06430022;-0.1440336;;;-10.09141;-107.5657;366.7608;43.662;-2.9789;0.000133172;95.07478
Generic Sweden;Sverige;First North;Informationsteknik;Kommunikation;GENI;Aktier;Q1-2018;0.4125;0.4868422;0.52;0.7666667;-10.72717;1.663428;1.978289;47.5818;24102.95;-0.08876237;-0.01330315;-0.05716675;-0.1689411;;;6.142;7.395;69.4498;12.292;-0.5267;0.002504679;51.60571
Genesis IT;Sverige;Aktietorget;Informationsteknik;IT-Tjänster;GENE;Aktier;Q1-2018;13.31655;2.553571;;;9.60332;2.061562;1.889123;140.4781;3585.34;0.2384298;0.2084571;0.3820649;0.5002119;0.1844207;0.4177919;12.5722;19.209;198.1841;9.959;2.0722;0.000226583;63.75831
Genmab;Denmark;Large Cap;Hälsovård;Bioteknik;GEN;Aktier;Q1-2018;3.746602;0.6364853;;;46.32981;21.31197;9.138086;58624.49;278259.9;0.2063744;0.1972615;0.2344725;0.2391918;0.5759627;0.1738929;-94.97021;190.856;59581.27;60.934;21.1052;0.00425547;53.8424
Genova Property Pref;Sverige;First North;Finans & Fastighet;Fastigheter;GPG PREF;Pref;Q4-2017;;;;10.5;;;;128;3682.93;;;;;;;;;128;1;;;14.17244
Genovis;Sverige;First North;Hälsovård;Läkemedel;GENO;Aktier;Q1-2018;0.0310418;0.865;;;-34.37788;8.764824;13.39308;223.2246;81371.24;-0.5976395;-1.112258;-1.318452;-0.7141567;;;-15.5862;-12.63067;224.8966;60.294;-0.1085;0.001819968;31.5802
Gentian Diagnostics;Norge;Merkur Market;Hälsovård;Sjukvård;GENT-ME;Aktier;Q4-2017;;;;;-50.74737;22.00063;3.917954;625.243;8694.32;;;;;;;;;769.78;13.996;-1.0838;0.00108396;53.26484
German High Street;Denmark;Small Cap;Finans & Fastighet;Investmentbolag;GERHSP B;Aktier;Q4-2017;1.529412;0.72;;;5.664852;10.34819;0.8464211;697.6441;586.23;;;;;;;;;392.805;3.045;22.772;0.000274253;26.29645
Getinge;Sverige;Large Cap;Hälsovård;Sjukvård;GETI B;Aktier;Q1-2018;-0.5529175;-0.5687531;2.22;1.833333;30.33654;1.169537;1.206672;37287.25;1891757;0.05534974;0.06272971;0.03028497;0.02920785;-0.2111329;-0.2050676;1114.4;1169.667;24208.25;272.37;2.9298;0.00877906;34.08908
GHP Specialty Care;Sverige;Small Cap;Hälsovård;Sjukvård;GHP;Aktier;Q1-2018;0.7526316;0.3684931;0.116;0.1;70.35211;0.6743917;1.847136;799.3472;76428.15;0.05061493;0.05829875;0.04497621;0.03849599;;-0.2448859;15.53998;0.8999667;682.1472;68.283;0.142;0.000978044;26.31531
Gjensidige Forsikring;Norge;OBX;Finans & Fastighet;Bank;GJF;Aktier;Q1-2018;0.4662921;0.07940445;7.06;7;16.53112;2.239228;2.710404;62103.4;598999.9;0.1879518;0.1839412;0.03197314;0.03075805;0.0146312;0.01373743;1430.42;1567.1;65250;500;7.8942;0.001280262;23.66397
Glaston;Finland;Small Cap;Industri;Byggprodukter;GLA1V;Aktier;Q1-2018;0.3166666;-0.07961161;0.01;0.006666666;24.81675;0.801438;2.4648;99.04408;92953.25;0.06778888;-0.02980178;-0.02663932;0.06506786;0.2330813;;1.516;0.9666669;91.44408;192.92;0.0191;0.000643838;28.38225
Global Gaming 555;Sverige;First North;Sällanköpsvaror;Betting & Spel;GLOBAL;Aktier;Q1-2018;;;;0.9333333;9.291298;1.910398;4.267927;931.233;194113.5;0.3446943;;;1.320613;;3.789988;;104.0333;1150.633;39.677;3.1212;0.00469916;46.22874
Glunz & Jensen;Denmark;Small Cap;Informationsteknik;Elektronisk utrustning;GJ;Aktier;Q2-2018;0.1640625;0.5050505;;;-2.694989;0.4616809;1.506334;218.37;4750.28;-0.4778264;;;-0.2431623;;;;9.236334;123.67;1.66;-27.6439;0.001509289;45.82111
